CUST ID;BALANCE;BALANCE FREQUENCY;PURCHASES;ONEOFF PURCHASES;INSTALLMENTS PURCHASES;CASH ADVANCE;PURCHASES FREQUENCY;ONEOFF PURCHASES FREQUENCY;PURCHASES INSTALLMENTS FREQUENCY;CASH ADVANCE FREQUENCY;CASH ADVANCE TRX;PURCHASES TRX;CREDIT LIMIT;PAYMENTS;MINIMUM PAYMENTS;PRC FULL PAYMENT;TENURE
C11563;158.941.431;1;118.79;118.79;0;2.176.940.929;0.416667;0.416667;0;0.166667;5;5;4000;34.953.025;487.369.259;0;12
C11564;1.106.557.102;1;1342.86;1149.91;192.95;3.249.314.496;0.333333;0.25;0.083333;0.25;4;13;6500;4.421.574.277;265.127.884;0;12
C11565;588.795.215;0.636364;4116;0;4116;0;0.5;0;0.5;0;0;12;21500;8.130.112.361;224.763.498;1;12
C11566;4.627.588.589;1;1774.46;1774.46;0;0;0.583333;0.583333;0;0;0;12;5200;864.174.924;2.154.424.137;0;12
C11567;2.766.561.266;1;1469.05;1469.05;0;1.585.242.991;0.333333;0.333333;0;0.166667;2;29;3000;591.132.016;1.196.391.741;0;12
C11568;5.363.715.074;1;118.41;118.41;0;4.344.905.863;0.083333;0.083333;0;0.333333;6;1;7000;196.592.346;1.870.760.877;0;12
C11569;2.963.244.696;0.777778;0;0;0;571.347.546;0;0;0;0.444444;15;0;7000;6.310.629.888;839.474.205;0.142857;9
C11570;21.184.382;0.636364;2176.55;1043.31;1133.24;0;0.583333;0.5;0.5;0;0;45;8000;1.826.642.642;166.132.353;0.285714;12
C11571;903.031.624;1;494.7;0;494.7;1111.69;0.833333;0;0.833333;0.166667;6;10;1000;2.210.461.973;87.912.421;0;12
C11572;793.713.659;1;1307;1307;0;0;0.166667;0.166667;0;0;0;1;3000;153.310.785;115.667.981;0;6
C11573;8.281.348.085;1;4231.12;3101.11;1130.01;0;1;1;0.583333;0;0;43;10500;2.856.165.405;2.046.341.231;0;12
C11574;100.904.785;1;1281.44;1202.44;79;0;1;1;0.166667;0;0;31;12000;1.271.161.266;184.798.996;0.916667;12
C11575;140.741.786;1;1547.68;1459.59;88.09;0;1;1;0.416667;0;0;27;7500;1.157.317.558;151.597.832;0.875;12
C11576;3.947.749.703;0.5;525.65;525.65;0;7.714.493.122;0.333333;0.333333;0;0.166667;1;7;10000;918.584.591;1.266.340.755;0;6
C11577;1.981.929.376;1;145.8;0;145.8;0;0.833333;0;0.75;0;0;10;6000;2.803.926.679;467.477.726;0.083333;12
C11578;975.946.428;1;1572.42;783.03;789.39;1.910.395.479;1;0.583333;1;0.416667;11;34;1700;4.024.595.117;559.828.935;0.166667;12
C11579;2.807.729.258;1;0;0;0;109.708.511;0;0;0;0.166667;2;0;3000;616.424.424;98.564.549;0;12
C11580;2.613.123.168;1;0;0;0;609.316.112;0;0;0;0.166667;3;0;3000;592.143.167;1.404.749.726;0;12
C11581;6.576.315;0.272727;74.49;0;74.49;0;0.25;0;0.166667;0;0;3;4000;4.519.561;42.397.448;0.166667;12
C11582;778.475.416;1;353.52;158;195.52;1.183.478.018;0.666667;0.083333;0.583333;0.416667;9;10;1500;219.322.142;278.916.478;0;12
C11583;717.030.572;1;3109.28;2724.52;384.76;2.560.207.055;1;1;0.833333;0.5;7;48;9500;2.055.673.322;1.961.161.822;0;12
C11585;1.579.158.781;1;4175.25;2095.35;2079.9;0;1;0.166667;0.916667;0;0;50;8000;1.980.952.607;40.675.838;0;12
C11586;131.459.201;1;705.84;0;705.84;0;0.916667;0;0.916667;0;0;11;13500;669.589;208.164.096;0.454545;12
C11587;1.764.520.491;0.909091;100;100;0;440.715.034;0.083333;0.083333;0;0.083333;1;1;3000;3.815.758.864;466.396.201;0.125;12
C11588;1.787.535.327;1;0;0;0;5.566.777.503;0;0;0;0.25;8;0;7500;4.592.708.912;461.680.587;0;12
C11589;2.769.640.442;1;738.06;738.06;0;1.273.269.924;0.5;0.5;0;0.333333;5;8;4500;74.045.306;701.288.299;0;12
C11590;0;0;88.62;0;88.62;0;0.583333;0;0.5;0;0;7;3500;58.761.299;;0;12
C11591;774.709.467;1;462;0;462;864.137.815;1;0;1;0.166667;2;24;6000;703.328.852;229.278.664;0;12
C11592;4.533.066.139;1;0;0;0;256.722.556;0;0;0;0.083333;1;0;8000;158.874.192;1.347.262.562;0;12
C11593;3.044.194.951;1;934.21;112;822.21;75.711.826;0.75;0.083333;0.666667;0.166667;2;38;3000;1.268.702.405;2.050.327.011;0;12
C11594;1.101.085.631;1;0;0;0;164.836.712;0;0;0;0.166667;2;0;1200;270.956.427;345.479.341;0;12
C11595;18.218.714;0.272727;89;0;89;0;0.083333;0;0.083333;0;0;1;4000;1.095.921.001;173.068.884;1;12
C11596;7.472.301;0.181818;80;0;80;0;0.166667;0;0.083333;0;0;2;3000;168.885.534;58.643.303;0.090909;12
C11597;1.258.079.397;1;1242.46;778.61;463.85;1.145.724.422;1;0.5;1;0.416667;8;33;4500;3.169.465.442;299.254.363;0.083333;12
C11598;497.787.017;1;114.54;114.54;0;1.573.646.488;0.083333;0.083333;0;0.166667;2;1;1000;206.033.172;220.633.128;0.166667;12
C11599;87.675.693;1;0;0;0;4.582.065.405;0;0;0;0.25;10;0;9000;1.824.244.866;2.259.461.833;0;12
C11600;843.357.393;1;45;45;0;0;0.083333;0.083333;0;0;0;1;2000;304.408.605;312.893.487;0;12
C11601;1.080.667.451;1;3895.67;697.85;3197.82;135.404.437;1;0.416667;1;0.166667;3;49;6500;2.571.280.305;314.038.049;0.166667;12
C11602;2.945.285.382;1;185.98;55;130.98;0;0.416667;0.083333;0.333333;0;0;9;3000;100.997.564;110.279.511;0;12
C11603;3.608.548.972;0.9;1664.02;1620.6;43.42;3.899.963.528;0.5;0.5;0.1;0.3;5;15;5000;1.043.772.722;1.488.313.908;0;10
C11604;1.209.733.106;1;1298.56;169.9;1128.66;0;1;0.083333;1;0;0;47;1200;1.558.812.198;1.543.178.369;0;12
C11605;21.664.126;1;271.86;30;241.86;0;1;0.083333;0.916667;0;0;12;4000;263.919.053;144.825.209;0.777778;12
C11606;27.832.009;1;366.6;0;366.6;0;1;0;1;0;0;12;5000;364.834.065;82.215.933;0.25;12
C11607;1.247.384.513;1;405.5;138.5;267;0;0.5;0.166667;0.416667;0;0;12;6500;1.131.607.754;291.293.418;0;12
C11608;1.052.127.315;1;354.48;0;354.48;0;1;0;1;0;0;12;1000;571.417.096;1.618.201.652;0;12
C11609;110.400.892;1;486.72;0;486.72;0;1;0;0.916667;0;0;12;1000;278.441.988;207.232.063;0.1;12
C11610;3.232.346.639;1;0;0;0;172.063.782;0;0;0;0.333333;8;0;3500;664.715.954;1.567.921.939;0;12
C11611;498.355.964;1;2434.7;931.7;1503;0;1;0.416667;1;0;0;27;4500;4.242.383.449;245.295.678;0.25;12
C11612;2.774.249.582;1;21802.6;21802.6;0;1.771.824.164;1;1;0;0.083333;4;72;13000;2.235.029.247;562.887.574;0.916667;12
C11613;2.332.392.373;1;306.36;0;306.36;0;0.25;0;0.166667;0;0;3;7000;670.376.849;627.343.242;0;12
C11614;3.630.771.485;1;0;0;0;1.051.948.252;0;0;0;0.666667;15;0;9000;5.171.793.236;929.686.078;0.090909;12
C11615;4.676.575.915;1;453.64;0;453.64;1.984.010.422;0.333333;0;0.333333;0.166667;5;4;8000;1.274.301.021;2.539.523.493;0;12
C11616;39.477.741;0.545455;325.66;325.66;0;0;0.333333;0.333333;0;0;0;7;1000;288.039.256;107.908.566;0;12
C11617;804.034;0.181818;176.85;176.85;0;0;0.166667;0.166667;0;0;0;4;6000;266.209.837;169.928.063;1;12
C11618;83.004.246;1;726.89;482.51;244.38;0;0.833333;0.583333;0.666667;0;0;23;3000;666.292.539;179.204.296;0.166667;12
C11619;19.702.206;1;3824.78;1722.51;2102.27;0;1;0.666667;1;0;0;80;3000;3.458.142.743;133.505.122;0.833333;12
C11621;223.818.492;1;1702.42;725;977.42;0;0.916667;0.083333;0.833333;0;0;12;7300;1.913.220.366;208.079.912;0.25;12
C11622;2.270.429.964;1;8257.26;6367.49;1889.77;4.134.316.549;1;1;1;0.75;15;139;13000;1.208.020.143;595.825.281;0.25;12
C11623;341.379.209;1;426.92;426.92;0;36.144.056;0.416667;0.416667;0;0.083333;1;13;3000;595.682.302;176.911.112;0;12
C11624;103.393.689;1;0;0;0;1.820.800.715;0;0;0;0.083333;1;0;3000;0;;0;12
C11625;1.050.527.038;0.818182;8880.59;2269.45;6611.14;0;1;0.333333;1;0;0;64;8500;7.713.262.155;266.749.027;0;12
C11626;1.033.394.656;1;262.44;0;262.44;888.915.071;0.666667;0;0.666667;0.166667;4;8;2000;569.731.828;541.208.044;0;12
C11627;0;0;2600;2600;0;0;0.083333;0.083333;0;0;0;1;6000;2.437.260.081;49.283.603;0;12
C11628;580.532.079;1;1724.75;1638.97;85.78;1.878.058.967;0.833333;0.75;0.666667;0.083333;1;29;7500;1.351.901.655;1.419.470.367;0;12
C11629;16.735.668;1;288;288;0;189.705.758;0.083333;0.083333;0;0.083333;1;3;6000;292.213.876;168.244.932;0;12
C11630;5.942.683.036;1;976.45;897.45;79;1.963.562.252;0.583333;0.583333;0.166667;0.166667;2;15;9000;1.659.876.332;1.411.613.705;0;12
C11631;5.559.733.773;1;930;0;930;3.639.817.554;0.416667;0;0.333333;0.416667;14;13;7500;2.519.858.893;237.625.517;0;12
C11632;2.650.518.784;1;503;128;375;0;0.5;0.083333;0.416667;0;0;6;3000;1.229.096.798;1.327.177.817;0;12
C11633;0.126562;0.2;0;0;0;47.222.001;0;0;0;0.1;1;0;1200;119.790.593;7.127.887;0.5;10
C11634;1.343.207;0.181818;19.08;0;19.08;0;0.166667;0;0.083333;0;0;2;7000;170.180.973;161.234.787;0;12
C11635;1.229.397.644;1;11414.48;6754.38;4660.1;0;1;0.916667;1;0;0;176;9000;9.686.614.183;263.250.811;0.916667;12
C11636;1.163.790.341;1;517;517;0;0;0.272727;0.272727;0;0;0;12;1200;54.121.958;70.992.275;0;11
C11637;2.000.797.758;1;1037.5;0;1037.5;0;0.416667;0;0.416667;0;0;5;7500;1.864.665.644;450.605.909;0.272727;12
C11638;8.809.504.736;1;25378.36;20646.07;4732.29;0;1;1;1;0;0;136;14500;2.582.532.482;2.921.628.286;0;12
C11639;82.803.156;1;756.68;597.35;159.33;0;1;1;0.166667;0;0;14;4000;699.109.729;17.791.561;1;12
C11640;343.674.421;0.454545;452.07;452.07;0;522.525.877;0.166667;0.166667;0;0.166667;4;3;1700;51.461.732;66.852.048;0;12
C11641;171.616.134;1;4996.17;4726.17;270;0;0.833333;0.75;0.166667;0;0;35;4500;4.736.750.346;86.731.068;0.666667;12
C11642;417.841.508;1;311.86;0;311.86;0;0.5;0;0.416667;0;0;7;3000;80.293.759;223.716.043;0;12
C11643;97.917.955;1;824.31;0;824.31;0;0.916667;0;0.916667;0;0;27;7500;702.365.795;163.523.497;1;12
C11644;608.697;0.181818;333.24;0;333.24;0;1;0;1;0;0;12;1500;224.061.597;28.414.675;0;12
C11645;1.600.479;0.181818;513.24;0;513.24;0;1;0;1;0;0;12;2500;363.735.397;;0;12
C11646;70.457.831;0.818182;1146.59;650.78;495.81;0;0.666667;0.166667;0.5;0;0;14;4500;904.796.957;82.491.959;0.5;12
C11647;1.160.206.649;0.9;1600;1400;200;0;0.3;0.1;0.1;0;0;5;2000;876.757.279;474.632.979;0;10
C11648;4.060.966.003;1;823.1;407;416.1;0;0.5;0.166667;0.333333;0;0;13;11500;3.347.328.701;1.220.529.171;0;12
C11649;2.714.595.164;1;666.1;75;591.1;296.922.557;0.916667;0.083333;0.916667;0.083333;1;18;8500;2.055.474.721;661.183.131;0;12
C11650;1.212.812.748;1;397.44;0;397.44;0;1;0;1;0;0;12;2000;1.738.449.943;283.392.145;0;12
C11651;48.822.128;1;537.51;0;537.51;0;1;0;0.833333;0;0;12;1000;478.875.501;177.734.472;1;12
C11652;694.202.818;0.818182;0;0;0;1.087.082.047;0;0;0;0.166667;3;0;1200;1.721.925.721;239.868.958;0.142857;12
C11653;3.478.592.472;0.9;0;0;0;3.757.973.335;0;0;0;0.2;11;0;4000;611.537.657;1.167.341.625;0;10
C11654;1.191.662.907;1;979.92;849.92;130;0;0.75;0.416667;0.416667;0;0;18;4350;278.328.435;470.064.242;0;12
C11655;1.552.772.103;1;34.74;34.74;0;185.374.726;0.1;0.1;0;0.2;3;1;3000;3.125.652.785;405.748.783;0;10
C11656;705.232.653;1;1902.4;1669.8;232.6;0;1;1;0.833333;0;0;29;900;1.941.959.847;618.228.223;0;12
C11657;339.170.218;1;38902.71;33803.84;5098.87;0;1;1;1;0;0;195;18000;3.584.362.593;716.027.656;1;12
C11658;1.013.728.552;1;3209.62;2797.99;411.63;953.600.788;1;0.583333;1;0.5;10;32;6000;4.176.325.274;327.352.843;0.083333;12
C11659;22.728.166;0.818182;262.5;0;262.5;0;0.75;0;0.666667;0;0;14;3500;301.677.275;164.479.393;1;12
C11660;799.518.482;1;339.96;0;339.96;830.316.783;1;0;1;0.25;4;12;1000;361.021.723;415.996.627;0;12
C11661;5.344.347.568;1;270.02;270.02;0;139.701.781;0.083333;0.083333;0;0.166667;2;2;6000;1.467.932.074;2.425.197.792;0;12
C11662;350.378.913;0.636364;3263.48;3263.48;0;0;0.583333;0.583333;0;0;0;25;7500;4.547.760.665;142.221.091;1;12
C11663;2.763.049.499;1;1921.85;1715.55;206.3;0;0.916667;0.5;0.666667;0;0;20;3050;16.145.512;2.228.715.586;0;12
C11664;4.383.989;0.545455;96.5;0;96.5;0;0.5;0;0.416667;0;0;6;4500;217.143.643;66.781.434;1;12
C11666;4.954.880.195;1;281.31;0;281.31;3.056.622.746;0.416667;0;0.416667;0.166667;4;5;5500;1.442.246.195;1.642.343.531;0;12
C11667;1.670.146.578;0.727273;3420.97;3420.97;0;0;0.25;0.25;0;0;0;31;2700;1.164.552.612;1.283.600.242;0.125;12
C11668;1.728.275.923;1;628.56;0;628.56;0;1;0;1;0;0;24;6000;1.217.960.916;440.321.862;0;12
C11669;1.034.555.485;1;5787.66;5093;694.66;0;0.833333;0.666667;0.75;0;0;63;2700;5.651.220.766;263.619.684;0.583333;12
C11670;502.653.982;1;4748.5;1845.75;2902.75;0;1;1;1;0;0;82;12000;4.517.823.754;205.244.926;0.583333;12
C11671;1.216.570.617;1;5140.49;4882.68;257.81;0;1;0.75;0.5;0;0;57;4500;5.671.221.416;366.088.817;0;12
C11672;7.611.152.584;1;3707.79;3707.79;0;0;0.666667;0.666667;0;0;0;57;12000;4.610.460.803;4.441.612.219;0;12
C11673;25.414.572;1;262.92;262.92;0;0;0.916667;0.916667;0;0;0;11;13000;280.367.131;170.017.741;0.636364;12
C11674;135.037.323;1;270;0;270;0;0.272727;0;0.181818;0;0;3;3300;1.760.310.579;1.471.250.082;1;11
C11675;41.762.859;0.090909;0;0;0;1.125.868.686;0;0;0;0.083333;3;0;12000;0;;0;12
C11676;1.563.747.179;1;801.46;601.46;200;1.029.987.801;0.583333;0.583333;0.083333;0.166667;2;17;4000;2.282.161.389;532.846.119;0;12
C11677;1.044.273.707;1;1463.84;255;1208.84;262.147.162;0.916667;0.416667;0.916667;0.083333;1;22;6700;2.624.741.492;373.793.958;0;12
C11678;8.159.168.439;1;2453.07;1845.55;607.52;3.278.461.198;1;0.916667;1;0.25;3;42;15000;1.698.958.527;2.137.893.656;0;12
C11679;240.375.955;1;367.16;367.16;0;0;0.333333;0.333333;0;0;0;8;2600;687.263.236;632.040.291;0;12
C11680;2.876.009.336;1;152.61;152.61;0;3.719.650.168;0.333333;0.333333;0;1.166.667;24;2;4000;248.342.971;584.926.336;0;6
C11681;1.237.673.602;0.727273;0;0;0;1.962.749.428;0;0;0;0.166667;3;0;2000;589.980.487;514.792.875;0;12
C11682;28.330.016;1;461.36;0;461.36;0;0.666667;0;0.666667;0;0;9;9000;526.087.388;177.721.392;0;12
C11683;7.339.943.073;0.875;0;0;0;9.123.485.636;0;0;0;0.375;11;0;9000;1.314.192.386;2.062.636.412;0;8
C11684;1.226.122.189;1;295.34;295.34;0;0;0.416667;0.416667;0;0;0;8;1200;439.233.552;1.282.187.993;0;12
C11685;3.515.039.029;1;2924.08;1385.29;1538.79;7.867.732.492;1;0.333333;1;0.75;31;85;4000;1.069.327.843;1.886.056.721;0;12
C11686;30.525.356;0.454545;384.95;384.95;0;0;0.333333;0.333333;0;0;0;4;14500;498.165.923;86.348.345;0.272727;12
C11687;1.283.280.303;0.777778;0;0;0;579.059.647;0;0;0;0.666667;17;0;3000;4.073.172.497;270.257.736;0;9
C11688;49.416.158;0.727273;590;350;240;0;0.583333;0.083333;0.5;0;0;7;6000;836.812.414;127.768.461;1;12
C11689;1.621.035.373;1;23.21;0;23.21;0;0.333333;0;0.333333;0;0;4;2000;500.515.114;475.627.205;0;12
C11690;1.624.651.156;0.636364;0;0;0;2.684.507.978;0;0;0;0.166667;9;0;6000;894.813.551;905.546.225;0;12
C11691;526.972.399;1;682.57;669.47;13.1;0;0.416667;0.333333;0.083333;0;0;9;7000;1.771.172.074;1.336.751.401;0;12
C11692;314.507.915;0.727273;3492.21;3195.21;297;0;0.583333;0.583333;0.166667;0;0;13;8500;4.089.583.027;152.410.485;0.833333;12
C11693;2.150.212.841;1;4096.08;3238.27;857.81;0;1;0.666667;0.833333;0;0;45;8500;587.669.772;503.201.988;0;12
C11694;891.620.777;1;0;0;0;159.673.475;0;0;0;0.166667;2;0;2000;593.110.495;269.482.212;0;12
C11695;3.454.094.319;1;31299.35;19064.3;12235.05;0;1;0.666667;0.833333;0;0;121;7500;2.254.258.705;119.303.103;0.583333;12
C11696;86.905.609;1;1106.4;0;1106.4;440.972.634;1;0;1;0.083333;1;12;2500;1.538.001.397;186.726.083;1;12
C11697;1.647.932.117;1;0;0;0;93.690.441;0;0;0;0.333333;4;0;1800;3.902.023;717.310.059;0;12
C11698;188.424.847;1;1576.35;1063.85;512.5;0;0.833333;0.833333;0.333333;0;0;20;6500;1.271.233.538;176.001.997;0.25;12
C11699;1.250.885.289;1;892.19;363.85;528.34;0;0.416667;0.083333;0.416667;0;0;6;1800;461.638.318;296.027.848;0;12
C11700;5.148.625.027;1;0;0;0;4.042.791.779;0;0;0;0.833333;16;0;6500;127.460.362;1.086.861.867;0;12
C11701;3.272.586.986;1;1146.57;991.58;154.99;0;1;1;0.5;0;0;20;12000;1.132.705.302;762.149.727;0;12
C11702;1.698.369.764;0.818182;0;0;0;2.253.381.516;0;0;0;0.083333;2;0;4500;5.512.828.223;696.916.536;0.111111;12
C11703;246.864.346;1;2995.55;2301.11;694.44;0;1;0.75;1;0;0;35;6000;2.734.138.816;181.027.921;0.916667;12
C11704;2.004.914.139;1;3628.29;1937.35;1690.94;0;1;0.916667;1;0;0;73;11500;1.718.220.924;55.163.308;0;12
C11705;10.703.306;0.090909;0;0;0;575.193.978;0;0;0;0.083333;1;0;1000;0;;0;12
C11706;1.410.753.575;1;588.85;399.85;189;1.668.104.809;0.583333;0.416667;0.25;0.75;23;13;4000;409.037.304;37.958.191;0;12
C11707;2.388.030.134;1;3832.98;2004.03;1828.95;1.441.065.248;1;1;1;0.083333;1;90;11000;599.039.237;600.897.569;0.083333;12
C11708;96.109.401;1;938.2;938.2;0;148.986.635;1;1;0;0.083333;1;12;8000;3.722.654.209;182.443.604;0.416667;12
C11709;8.953.743.398;1;254.85;83.97;170.88;0;0.333333;0.083333;0.25;0;0;5;12000;2.105.588.422;3.520.422.846;0;12
C11710;3.414.977.831;1;2219.55;1695.03;524.52;950.424.076;0.916667;0.75;0.75;0.583333;10;33;5000;73.208.134;893.816.089;0;12
C11711;103.988.038;0.818182;93.24;0;93.24;5.465.141.893;1;0;0.916667;0.416667;5;12;5000;5.293.609.266;290.479.763;0.090909;12
C11712;92.898.327;1;546;46;500;0;0.5;0.083333;0.416667;0;0;7;6000;78.750.992;173.630.065;0.6;12
C11713;2.885.068.871;1;0;0;0;255.676.579;0;0;0;0.25;3;0;3000;712.676.699;618.776.921;0;12
C11714;7.919.563.494;1;85.54;0;85.54;9.945.280.243;0.222222;0;0.111111;0.444444;10;2;10000;1.594.977.158;1.712.713.459;0;9
C11715;4.707.131.609;0.636364;7066.08;4534.03;2532.05;5.192.290.154;0.583333;0.333333;0.5;0.25;12;87;10000;5.352.856.606;6.887.163.504;0;12
C11716;1.915.245.632;1;39;39;0;92.668.977;0.083333;0.083333;0;0.083333;1;1;1950;542.919.146;814.880.073;0;12
C11717;392.667.425;1;4015.23;4015.23;0;0;1;1;0;0;0;26;7500;3.189.923.177;1.769.102;0.916667;12
C11718;10.457.287;1;937.56;630;307.56;0;0.666667;0.083333;0.666667;0;0;13;6000;870.874.657;179.369.855;0.583333;12
C11719;2.257.542.109;1;0;0;0;1.082.684.755;0;0;0;0.083333;1;0;3000;464.716.284;659.553.866;0;12
C11720;75.070.011;0.9;898.45;0;898.45;0;0.9;0;0.8;0;0;11;4000;743.358.844;146.723.712;1;10
C11721;7.533.854.422;1;5253.06;3096.1;2156.96;0;0.916667;0.833333;0.75;0;0;78;20500;1.790.394.949;1.727.487.481;0;12
C11722;628.384.411;1;887.3;840;47.3;279.557.918;0.25;0.166667;0.083333;0.083333;1;6;2000;177.708.307;181.271.709;0;12
C11723;165.808.096;0.714286;981.19;823.39;157.8;0;0.714286;0.571429;0.285714;0;0;16;9000;672.446.893;105.350.665;0.25;7
C11724;5.329.544.052;1;1651.64;1088.79;562.85;0;0.416667;0.166667;0.416667;0;0;18;5500;1.587.462.442;2.098.664.454;0;12
C11725;1.171.429.087;0.909091;1845.42;1845.42;0;0;0.25;0.25;0;0;0;7;3000;3.073.603.769;855.360.889;0.1;12
C11726;99.912.238;1;730.2;165;565.2;0;1;0.142857;0.857143;0;0;13;1000;463.326.909;101.919.615;0.5;7
C11728;114.295.749;1;109.8;0;109.8;0;0.75;0;0.75;0;0;12;1000;115.418.223;16.503.489;0;12
C11729;287.099.648;0.818182;2693.64;640.5;2053.14;0;0.75;0.25;0.75;0;0;33;9000;2.258.647.459;19.021.182;0.125;12
C11730;5.867.560.972;1;609;109.06;499.94;3.397.577.504;0.583333;0.083333;0.416667;0.333333;9;11;7000;1.498.619.792;1.736.821.544;0;12
C11731;749.930.365;1;350.57;350.57;0;948.293.789;0.083333;0.083333;0;0.25;6;3;7500;1.326.434.054;1.906.053.475;0;12
C11732;23.331.936;0.454545;1194.96;0;1194.96;0;1;0;1;0;0;17;1600;1.381.551.722;28.452.913;0;12
C11733;262.723.622;0.818182;2365.07;2125.07;240;0;0.75;0.5;0.416667;0;0;26;9000;3.095.831.769;177.879.065;0.636364;12
C11734;204.584.048;0.818182;0;0;0;628.366.944;0;0;0;0.25;3;0;1600;1.933.810.453;152.106.855;0;12
C11735;4.977.237.859;1;61.99;61.99;0;744.832.932;0.083333;0.083333;0;0.5;22;1;6500;6.850.235.626;1.587.042.735;0;12
C11736;433.677.841;1;1391.89;1088.83;303.06;0;0.833333;0.833333;0.333333;0;0;19;7000;2.312.220.888;17.806.847;0.25;12
C11737;1.220.493.289;0.363636;0;0;0;5.607.394.437;0;0;0;0.25;3;0;6000;566.644.234;1.112.634.979;0;12
C11738;3.740.907.731;1;0;0;0;116.632.141;0;0;0;0.083333;1;0;4000;128.371.777;2.714.602.678;0;12
C11739;166.901.626;1;892.3;517.3;375;295.812.224;0.916667;0.75;0.416667;0.083333;1;14;1800;106.580.426;1.027.885.496;0;12
C11740;117.617.134;1;1081.23;100;981.23;0;0.916667;0.083333;0.833333;0;0;29;2100;1.024.806.886;173.322.076;1;12
C11741;3.802.910.134;1;0;0;0;1.448.031.295;0;0;0;0.333333;12;0;4000;915.900.602;1.718.363.679;0;12
C11742;43.354.029;1;617.34;0;617.34;0;0.916667;0;0.916667;0;0;19;1200;564.845.244;160.071.637;0.583333;12
C11743;4.530.639.094;1;0;0;0;3.162.719.581;0;0;0;0.25;5;0;8000;995.539.176;1.032.384.353;0;12
C11744;3.529.587.012;1;0;0;0;3.969.324.981;0;0;0;0.666667;14;0;9000;3.603.147.293;1.207.117.316;0;12
C11745;5.052.910.787;1;1062.63;343.15;719.48;2.687.982.848;0.916667;0.5;0.75;0.583333;20;29;6000;917.236.699;1.573.961.394;0;12
C11746;51.923.357;0.3;835.31;250;585.31;0;0.5;0.1;0.4;0;0;13;7000;832.140.348;70.583.398;0.25;10
C11747;144.012.882;0.636364;675.53;675.53;0;0;0.166667;0.166667;0;0;0;2;4000;1.945.250.404;27.190.089;0;12
C11749;293.803.208;1;380.59;332.52;48.07;118.972.449;0.166667;0.083333;0.083333;0.083333;1;3;10000;1.172.022.584;19.455.397;0;12
C11750;11.188.595;0.454545;159.84;0;159.84;0;0.5;0;0.5;0;0;6;1000;110.860.738;57.545.594;0;12
C11751;516.814.969;1;276.52;141.96;134.56;584.976.769;0.25;0.25;0.083333;0.083333;1;8;1500;927.381.808;190.875.362;0;12
C11752;1.134.122.053;1;288.39;0;288.39;0;0.416667;0;0.416667;0;0;10;1400;2.155.314.664;1.225.699.852;0.083333;12
C11753;1.167.017.985;1;4872.6;0;4872.6;0;1;0;1;0;0;52;11500;5.031.032.515;9.627.891.511;0;12
C11754;156.988.775;1;741.66;309.66;432;2.710.997.094;0.416667;0.333333;0.083333;0.166667;3;8;4000;3.306.369.832;503.399.492;0;12
C11755;4.532.433.434;1;1433.26;1433.26;0;364.852.384;0.166667;0.166667;0;0.083333;1;2;7000;3.039.325.393;2.172.302.786;0;12
C11756;5.505.828.486;1;0;0;0;193.187.682;0;0;0;0.25;3;0;6000;1.355.058.674;2.345.198.755;0;12
C11757;2.843.394.382;1;0;0;0;3.133.305.504;0;0;0;0.166667;6;0;6000;680.388.185;1.076.334.465;0;12
C11758;2.391.214.539;1;4186.49;3313;873.49;0;1;0.916667;0.916667;0;0;50;4000;271.098.198;561.918.093;0;12
C11759;2.270.950.105;1;1403.42;77;1326.42;0;0.916667;0.083333;0.916667;0;0;12;8500;830.130.725;582.489.074;0;12
C11760;5.193.415.429;1;3584.8;2204.52;1380.28;0;1;1;1;0;0;52;15500;1.734.349.114;1.322.868.997;0;12
C11761;2.431.193.194;1;0;0;0;195.932.353;0;0;0;0.083333;1;0;4000;976.859.575;685.995.885;0;12
C11762;1.232.292.951;1;0;0;0;5.184.090.716;0;0;0;0.666667;28;0;4500;6.050.865.303;348.943.877;0.083333;12
C11763;279.253.475;1;3243.86;3002.52;241.34;0;1;0.666667;0.916667;0;0;33;8500;3.105.312.146;192.561.842;1;12
C11764;236.991.046;1;916.22;716.4;199.82;0;1;1;0.083333;0;0;26;6500;79.594.344;752.616.787;0;12
C11765;1.917.441.126;0.909091;12617.19;76.19;12541;0;0.333333;0.166667;0.166667;0;0;5;15000;1.373.355.783;336.823.302;0.428571;12
C11766;7.445.228.843;1;1023.29;0;1023.29;1.632.364.243;1;0;1;0.833333;43;31;11500;1.132.000.746;2.739.343.539;0.083333;12
C11767;193.565.763;1;1821.52;0;1821.52;0;1;0;1;0;0;29;3000;1.543.210.017;183.380.543;0.5;12
C11768;3.013.590.493;1;0;0;0;341.360.876;0;0;0;0.583333;7;0;3000;750.160.714;1.329.881.951;0;12
C11769;92.406.069;0.727273;0;0;0;683.253.783;0;0;0;0.083333;1;0;3500;1.044.949.836;41.026.459;0.166667;12
C11770;2.472.874.609;1;2052.74;730.94;1321.8;3.251.021.027;1;0.416667;1;0.25;10;30;6500;9.076.561.132;635.401.109;0.083333;12
C11771;154.439.292;1;1047.94;440;607.94;0;0.75;0.083333;0.583333;0;0;17;6000;1.032.089.965;173.484.575;0.333333;12
C11773;269.911.748;1;1348.44;1259.44;89;298.491.305;1;1;0.416667;0.25;4;44;500;1.258.023.851;250.283.276;0;12
